,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
117,Ava Kuyken,eng ENG,MF,Arsenal,16,2001,3,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2cc918c3
118,Hayley Ladd,wls WAL,MFDF,Birmingham City,23,1993,16,16,1440,16.0,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches,1e4d1c4c
119,Harriet Lambe,ie IRL,DF,Yeovil Town,16,2001,2,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2621934
120,Mollie Lambert,eng ENG,MFFW,Sunderland,,,12,7,614,6.8,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches,3f88a353
121,Melissa Lawley,eng ENG,FWMF,Manchester City,23,1994,13,7,649,7.2,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,6ca0cbee
122,Nadia Lawrence,wls WAL,MF,Yeovil Town,27,1989,7,6,497,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,568d4d19
123,Rachael Laws,eng ENG,GK,Sunderland,26,1990,15,15,1350,15.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7b45e2ca
124,Caitlin Leach,eng ENG,GK,Bristol City,20,1996,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9efd3c77
125,Mie Leth Jans,dk DEN,DF,Manchester City,23,1994,4,2,237,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f06d0824
126,Kirstie Levell,eng ENG,GK,Everton,20,1997,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,85b75d24
127,Hedvig Lindahl,se SWE,GK,Chelsea,34,1983,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d309cfe
128,Isabelle Linden,de GER,FWMF,Birmingham City,26,1991,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cf88e285
129,Kirsty Linnett,eng ENG,FWMF,Reading,23,1993,13,3,372,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,23a667a7
130,Kasia Lipka,eng ENG,MFDF,Sunderland,24,1993,16,16,1389,15.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,724bce82
