,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
31,Simone Boye Sørensen,dk DEN,DF,Arsenal,29,1992,5,2,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09,Matches,800ce204
32,Chantelle Boye-Hlorkah,eng ENG,FWMF,Aston Villa,25,1995,18,11,996,11.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,1.2,0.07,0.04,0.11,0.07,0.11,Matches,c87eb969
33,Ellie Brazil,eng ENG,FWMF,Brighton,22,1999,19,12,979,10.9,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,1.0,1.0,0.8,1.8,0.10,0.07,0.17,0.10,0.17,Matches,50000805
34,Millie Bright,eng ENG,DF,Chelsea,27,1993,22,22,1971,21.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.9,2.3,0.06,0.04,0.10,0.06,0.10,Matches,22fccf20
35,Lucy Bronze,eng ENG,DF,Manchester City,29,1991,13,13,1148,12.8,0,2,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,0.7,0.7,2.4,3.0,0.05,0.19,0.24,0.05,0.24,Matches,5056c581
36,Courtney Brosnan,ie IRL,GK,Everton,25,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1cd91ff2
37,Georgia Brougham,eng ENG,DF,Leicester City WFC,25,1996,11,8,725,8.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.09,0.09,0.00,0.09,Matches,052a7107
38,Signe Bruun,dk DEN,FWMF,Manchester Utd,23,1998,5,2,192,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.18,0.03,0.21,0.18,0.21,Matches,623d0667
39,Dagný Brynjarsdóttir,is ISL,MFFW,West Ham,29,1991,20,19,1677,18.6,4,1,4,0,0,1,0,0.21,0.05,0.27,0.21,0.27,4.1,4.1,0.7,4.9,0.22,0.04,0.26,0.22,0.26,Matches,e483bd89
40,Faye Bryson,eng ENG,DFMF,Reading,24,1997,20,20,1799,20.0,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.4,0.4,0.8,1.2,0.02,0.04,0.06,0.02,0.06,Matches,0d10692c
41,Danielle Buet,eng ENG,DF,Brighton,32,1988,2,0,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ce9db81a
42,Tameka Butt,au AUS,MFFW,West Ham,30,1991,16,13,1204,13.4,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,2.0,2.0,0.7,2.7,0.15,0.06,0.21,0.15,0.21,Matches,c63e11a5
43,Vilde Bøe Risa,no NOR,MFFW,Manchester Utd,26,1995,17,8,702,7.8,2,1,2,0,0,0,0,0.26,0.13,0.38,0.26,0.38,1.4,1.4,0.4,1.8,0.19,0.05,0.23,0.19,0.23,Matches,20a6da0c
44,Hannah Cain,wls WAL,MFDF,Leicester City WFC,22,1999,4,4,275,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.10,0.10,0.00,0.10,Matches,73b140ea
